,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,
players,Gary,Harris,SG,24,193.04,210,7,67,1.2,2.5,0.799,6.9,0.476,4.2,0.339,0.7,17,2.1,72,2.2,75,88,1,0.3,75,,,,
players,Juan,Hernangomez,PF,23,205.74,230,7,70,0.5,1.2,0.767,1.9,0.541,2.6,0.365,0.9,18,2.9,34,0.8,70,91,0.4,0.3,67,,,,
players,Nikola,Jokic,C,23,208.28,250,7,70,3.1,4.4,0.821,11.7,0.569,3.4,0.307,2.9,100,8,40,7.3,75,98,1.4,0.7,79,HH,,,
players,Paul,Millsap,PF,33,203.2,246,7,88,1.4,3.6,0.727,7.2,0.522,2.3,0.365,2.2,54,5,36,2,70,61,1.2,0.8,86,PT,,,
players,Jamal,Murray,PG,21,193.04,207,7,64,2.1,3,0.848,10.1,0.476,5.5,0.367,0.9,30,3.4,80,4.8,80,97,0.9,0.4,86,,,,
players,Isaiah,Thomas,PG,29,175.26,185,7,48,1.5,2.3,0.63,4.7,0.393,3.6,0.279,0.4,100,0.7,88,1.9,82,73,0.4,0.1,67,,,,
players,Tyler,Lydon,PF,22,208.28,205,7,56,0.2,0.1,0.333,0.3,0.625,0.4,0.4,0.3,15,0.4,25,0.2,70,94,0.1,0,80,,,,
players,Mason,Plumlee,C,28,210.82,245,7,80,1.5,2.4,0.561,5.3,0.602,0.1,0.2,2,21,4.4,46,3,70,76,0.8,0.9,81,,,,
Rookies,Michael,Porter,SF,20,208.3,215,7,69,1,3,0.778,6.7,0.35,3.3,0.3,1.3,60,5.3,52,0.3,68,100,1,0.3,72,R,,,
Rookies,Monte,Morris,PG,23,190.5,175,7,60,0.6,1,0.802,5.8,0.531,2.8,0.414,0.4,15,1.9,70,3.6,70,91,0.9,0,65,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Isaiah,Whitehead,PG,23,193.04,213,8,52,2,1.4,0.823,5.1,0.404,1.9,0.321,0.3,16,2.2,45,3,70,91,0.6,0.5,82,,,,
players,Jose,Calderon,PG,37,190.5,200,8,49,0.7,0.2,0.818,1.3,0.492,1.2,0.246,0.2,21,1,31,2.3,70,49,0.3,0.1,44,CG,,,
players,Sviatoslav,Mykhailiuk,SG,21,203.2,205,8,61,0.5,0.5,0.6,1.2,0.333,2.1,0.326,0.2,3,0.6,54,0.9,62,38,0.3,0,63,R,,,
players,Andre,Drummond,C,25,210.82,279,8,90,2.2,5.2,0.59,12.8,0.548,0.5,0.132,5.4,100,10.2,45,1.4,80,85,1.7,1.7,98,HH,,,
players,Bruce,Brown,SG,22,196,202,8,74,0.6,0.8,0.75,3,0.457,1.3,0.258,0.6,16,1.9,60,1.2,70,94,0.5,0.5,60,R,,,
players,Khyri,Thomas,SG,26,200.66,200,8,68,0.2,0.4,0.636,1.3,0.353,1.3,0.286,0.2,15,0.6,40,0.3,70,82,0.3,0.2,25,R,,,
players,Glenn,Robinson III,SF,25,198.12,222,8,65,0.4,0.9,0.8,2.4,0.491,1.3,0.29,0.4,16,1.1,52,0.4,70,85,0.3,0.2,82,,,,
players,Luke,Kennard,SG,22,195.58,187,8,53,0.9,1,0.836,4,0.486,4.3,0.394,0.2,15,2.7,40,1.8,70,94,0.4,0.2,75,,,,
players,Reggie,Jackson,PG,28,190.5,208,8,61,1.8,2.9,0.864,7,0.464,5.7,0.369,0.5,22,2.1,60,4.2,60,76,0.7,0.1,70,SP,,,
players,Langston,Galloway,SG,27,190,202,8,54,0.3,1.2,0.844,2.6,0.449,4.8,0.355,0.6,25,1.5,52,1.1,67,67,0.5,0.1,63,,,,
players,Jon,Leuer,PF,29,208.28,228,8,58,0.6,0.8,0.742,2.5,0.637,0.3,0.091,0.7,16,1.7,48,0.3,70,73,0.3,0.1,42,,,,
players,Zaza,Pachulia,C,34,210.82,270,8,80,0.8,1.8,0.782,2.8,0.45,0.1,0,1.5,100,2.4,35,1.3,72,58,0.5,0.3,68,IH,,,
players,Thon,Maker,PF,21,215.9,216,8,74,0.8,1.6,0.766,2,0.458,2.6,0.307,0.8,26,2.8,30,0.9,72,97,0.4,1.1,59,,,,
players,Ish,Smith,PG,30,182.88,175,8,59,1.1,1.1,0.758,6.3,0.455,2.4,0.326,0.4,16,2.2,50,3.6,70,70,0.5,0.2,75,,,,
players,Blake,Griffin,PF,29,208.28,251,8,79,3.4,7.3,0.753,10.9,0.532,7,0.362,1.3,100,6.2,80,5.4,90,73,0.7,0.4,90,SP,,,
players,Wayne,Ellington,SG,31,193.04,200,8,64,0.9,1.2,0.758,2,0.607,7.8,0.373,0.3,16,1.9,60,1.5,70,67,1.1,0.1,60,EX,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Jacob,Evans,SG,21,198,210,9,64,0.4,0,0,1.3,0.368,0.5,0.267,0.2,1,0.6,40,0.8,70,79,0.2,0.1,43,R,,,
players,Stephen,Curry,PG,30,190.5,190,9,69,2.8,4.2,0.916,7.7,0.525,11.7,0.437,0.7,100,4.7,100,5.2,90,70,1.3,0.4,88,HH,,,
players,Kevin,Durant,SF,30,205.74,240,9,91,2.9,6.5,0.885,12.8,0.587,5,0.353,0.4,100,5.9,100,5.9,90,70,0.7,1.1,90,PT,,,
players,Draymond,Green,PF,28,200.66,230,9,94,2.6,1.4,0.692,3.9,0.542,2.5,0.285,0.9,100,6.4,70,6.9,95,76,1.4,1.1,92,CG,,,
players,Andre,Iguodala,SF,33,198.12,215,9,93,0.8,1,0.582,2.3,0.652,2.1,0.333,0.7,100,3,70,3.2,85,55,0.9,0.8,81,PT,,,
players,Damian,Jones,C,23,213.36,245,9,74,0.7,1.5,0.649,3.1,0.716,0,0,1.3,27,1.8,25,1.2,70,91,0.5,1,75,,,,
players,Shaun,Livingston,PG,33,200.66,192,9,70,0.6,0.8,0.784,3.3,0.524,0,0,0.7,100,1.2,34,1.8,70,61,0.5,0.4,80,,,,
players,Kevon,Looney,PF,22,205.74,220,9,88,0.6,1.3,0.619,4.2,0.641,0.1,0.1,2.4,26,2.8,26,1.5,70,94,0.6,0.7,74,,,,
players,Quin,Cook,PG,25,188,179,9,54,0.7,0.4,0.769,3.2,0.515,2.7,0.405,0.3,25,1.8,78,1.6,70,82,0.3,0,68,,,,
players,Alfonzo,Mckinnie,SF,26,203,2115,9,63,0.4,0.7,0.563,2.2,0.586,1.6,0.356,1.1,36,2.3,47,0.4,75,91,0.3,0.2,70,,,,
players,Klay,Thompson,SG,28,200.66,215,9,90,1.5,2,0.816,10.3,0.516,7.7,0.402,0.5,100,3.4,90,2.4,70,76,1.1,0.6,91,EX,,,
players,Jordan,Bell,C,24,205.5,225,9,70,0.6,0.6,0.61,2.8,0.521,0,0,0.8,8.5,1.9,40,1.1,65,78,0.3,0.8,62,,,,
players,Jonas,Jerebko,PF,31,208.28,231,9,67,0.6,1.1,0.8,2.3,0.563,2.6,0.367,1,19,3,35,1.3,75,67,0.4,0.2,76,,,,
players,Andrew,Bogut,C,34,213.36,260,9,80,0.7,0.3,1,3.3,0.5,0,0,1.1,26,3.9,25,1,75,58,0.3,0.7,52,IH,,,
players,DeMarcus,Cousins,C,28,210.82,270,9,73,2.4,4.8,0.736,9.2,0.551,3.2,0.274,1.4,100,6.8,46,3.6,60,76,1.3,1.5,87,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,P.J.,Tucker,PF,33,198.12,245,10,80,0.8,0.7,0.695,1.7,0.449,4.7,0.377,1.5,16,4.4,43,1.2,68,61,1.6,0.5,90,,,,
players,Danuel,House,SF,25,200.66,207,10,52,0.9,1.8,0.789,1.9,0.595,4.6,0.416,0.6,15,2.9,48,1,70,85,0.5,0.3,68,,,,
players,Chris,Paul,PG,33,182.88,175,10,70,2.6,3.5,0.862,6.3,0.479,6.1,0.358,0.6,100,3.9,70,8.2,90,61,2,0.3,70,CG,,,
players,Austin,Rivers,SG,26,194.7,200,10,63,0.7,1,0.51,3.3,0.541,4.7,0.321,0.3,15,1.6,66,2.3,80,60,0.6,0.3,67,PT,,,
players,Isaiah,Hartenstein,PF,20,213.36,225,10,78,0.5,0.5,0.786,1.3,0.514,0.2,0.333,0.8,25,0.9,35,0.5,70,100,0.3,0.4,58,R,,,
players,Clint,Capela,C,24,208.28,240,10,79,1.4,3.9,0.636,10.9,0.648,0,0,4.4,100,8.2,44,1.4,70,88,0.7,1.5,82,,,,
players,Eric,Gordon,SG,30,193.04,215,10,58,1.3,2.2,0.783,5,0.497,8.8,0.36,0.3,100,1.9,66,1.9,72,70,0.6,0.4,88,EX,,,
players,James,Harden,SG,29,195.58,220,10,73,5,11,0.879,11.3,0.528,13.2,0.368,0.8,100,5.8,88,7.5,80,73,2,0.7,100,CG,,,
players,,Nene,C,36,210.82,250,10,72,0.3,1.1,0.66,2.7,0.531,0.1,0,0.8,62,2.1,31,0.6,75,52,0.4,0.4,65,IH,,,
players,Trevon,Duval,PG,20,188.5,190,10,53,2.6,2.8,0.645,8.2,0.5,3.5,0.243,0.5,21,2.3,82,3.7,82,64,1.2,0.1,52,R,,,
players,Gary,Clark,PF,24,208.28,240,10,70,0.1,0.1,1,0.3,0.692,2.7,0.297,0.5,19,1.8,25,0.4,70,82,0.4,0.5,36,R,,,
players,Gerald,Green,SG,33,200.66,205,10,59,0.8,0.9,0.838,1.9,0.547,6,0.354,0.4,22,2.1,47,0.5,70,61,0.5,0.4,57,,,,
players,Iman,Shumpert,SG,28,195.58,220,10,67,0.6,0.2,0.5,1.4,0.481,3.6,0.296,0.4,65,2.3,42,1.1,80,76,0.6,0.2,62,,,,
players,Kenneth,Faried,C,29,203.2,228,10,67,1.1,3.3,0.651,8.1,0.611,0.8,0.35,3.3,24,5,45,0.7,90,73,0.6,0.8,73,SP,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Tyreke,Evans,SG,29,198.12,220,11,67,1.7,2.3,0.719,6.4,0.405,3.1,0.356,0.5,17,2.4,53,2.4,75,73,0.8,0.3,53,PT,,,
players,Cory,Joseph,PG,27,190.5,193,11,77,1,0.5,0.698,4.6,0.454,2.1,0.322,0.5,29,2.9,73,3.9,70,79,1.1,0.3,72,,,,
players,Darren,Collison,PG,29,182.88,175,11,68,1.6,2.5,0.832,6.1,0.492,2.6,0.408,0.5,16,2.6,63,6,70,67,1.4,0.1,81,,,,
players,Wesley,Matthews,SG,32,195.58,220,11,64,1.3,2.1,0.854,3.5,0.413,5.7,0.369,0.5,19,2.3,51,2.4,70,64,0.9,0.2,93,,,,
players,Alize,Johnson,PF,22,203.2,230,11,71,0,0.6,0.5,1,0.214,0.1,0.5,0.3,15,1.1,25,0.1,70,85,0.1,0.2,41,R,,,
players,Kyle,O'Quinn,C,28,208.28,250,11,80,0.7,0.5,0.81,2.8,0.548,0.3,0.083,0.6,24,2,30,1.2,70,76,0.2,0.6,55,,,,
players,Doug,McDermott,SF,27,203.2,225,11,68,0.5,1,0.835,2.8,0.569,2.7,0.408,0.2,22,1.2,42,0.9,70,79,0.2,0.1,73,,,,
players,T.J.,Leaf,PF,21,208.28,220,11,67,0.2,0.5,0.613,2.6,0.599,0.5,0.258,0.7,15,1.4,25,0.4,70,97,0.2,0.3,36,,,,
players,Myles,Turner,C,22,210.82,243,11,89,1.4,2.7,0.736,7.9,0.521,2.6,0.388,1.4,33,5.8,35,1.6,82,94,0.8,2.7,82,PT,,,
players,Thaddeus,Young,PF,30,203.2,221,11,80,1.5,1.7,0.644,8.6,0.564,1.8,0.349,2.4,18,4.1,53,2.5,80,70,1.5,0.4,84,,,,
players,Bojan,Bogdanovic,SF,29,203.2,216,11,61,1.7,3.8,0.807,8.2,0.538,4.8,0.425,0.4,24,3.7,56,2,70,73,0.9,0,85,IH,,,
players,Victor,Oladipo,SG,26,193.04,210,11,73,2.3,3.9,0.73,10.3,0.47,6,0.343,0.6,69,5,79,5.2,80,82,1.7,0.3,81,SP,,,
players,Domantas,Sabonis,C,22,210.82,240,11,74,2.2,3.9,0.715,9.2,0.592,0.2,0.529,2.2,31,6.8,31,2.9,70,94,0.6,0.4,71,,,,
players,Aaron,Holiday,PG,22,185.5,185,11,59,0.8,1,0.82,2.7,0.459,2.5,0.339,0.1,1,1.2,83,1.7,71,78,0.4,0.3,44,R,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Garrett,Temple,SG,32,198.12,195,12,61,0.6,1.2,0.742,2,0.5,2.1,0.296,0.4,16,2.1,48,1.4,70,64,1,0.2,46,,,,
players,Rodney,McGruder,SG,27,193.04,205,12,61,1,1.1,0.722,3.6,0.453,3.4,0.351,0.9,15,2.7,39,1.7,70,79,0.6,0.2,65,,,,
players,Patrick,Beverley,PG,30,185.42,185,12,91,1.1,1.6,0.78,2.5,0.421,3.6,0.397,1,100,4,79,3.8,75,70,0.9,0.6,80,,,,
players,JaMychal,Green,PF,28,205.74,227,12,70,1,0.9,0.81,3.5,0.548,3.3,0.413,1.3,19,5.2,37,0.6,70,76,0.5,0.3,64,,,,
players,Jerome,Robinson,SG,21,196,190,12,45,0.4,0.3,0.667,1.6,0.491,1.7,0.316,0.1,8,1.2,61,0.6,67,80,0.3,0.1,28,R,,,
players,Tyrone,Wallace,PG,24,208.28,230,12,60,0.6,0.9,0.526,3.2,0.444,0.3,0.211,0.3,16,1.3,62,0.7,80,88,0.3,0.1,37,,,,
players,Lou,Williams,SG,32,187.5,175,12,55,2.4,6.5,0.876,11.3,0.447,3.9,0.361,0.5,43,2.4,80,5.4,73,61,0.8,0.1,83,EX,,,
players,Montrezl,Harrell,C,25,203.2,240,12,70,1.6,5,0.643,10.6,0.623,0.2,0.176,2.2,95,4.3,47,2,90,85,0.9,1.3,67,,,,
players,Shai,Gilgeous-Alexander,PG,20,198,191,12,73,1.7,2.4,0.8,7,0.503,1.7,0.367,0.7,23,2.1,69,3.3,70,64,1.2,0.5,75,R,,,
players,Wilson,Chandler,SF,31,203.2,225,12,55,0.9,0.5,0.72,2.3,0.478,3.1,0.373,0.9,19,3.3,55,1.6,70,67,0.5,0.4,77,,,,
players,Danilo,Gallinari,SF,30,208.28,225,12,49,1.5,6,0.904,7.5,0.484,5.5,0.433,0.8,36,5.3,55,2.6,72,70,0.7,0.3,80,IH,,,
players,Sindarius,Thornwell,SG,24,196,215,12,70,0.3,0.5,0.735,0.5,0.412,0.2,0.2,0.1,1,0.6,56,0.3,70,58,0.2,0.1,32,,,,
players,Landry,Shamet,SG,21,196,188,12,49,0.8,1.6,0.795,2.4,0.322,6,0.45,0.3,25,2,39,2.3,70,82,0.5,0.1,75,R,,,
players,Ivica,Zubac,C,21,215.9,265,12,70,1.4,2.3,0.733,7.2,0.538,0,0,2.3,18,5.3,31,1.5,70,97,0.4,0.9,75,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Kyle,Kuzma,PF,23,205.74,221,13,69,1.9,3.6,0.752,9.5,0.553,6,0.303,0.9,15,4.6,25,2.5,70,91,0.6,0.4,84,,,,
players,JaVale,McGee,C,31,213.36,270,13,86,1.4,2,0.632,8.4,0.634,0.2,0.083,2.6,100,4.9,50,0.7,80,67,0.6,2,65,,,,
players,Moritz,Wagner,C,21,210.9,235,13,46,0.9,1.2,0.811,2.2,0.521,1.8,0.286,0.4,9,1.6,35,0.6,74,58,0.3,0.3,56,,,,
players,Lonzo,Ball,PG,21,198.12,190,13,75,2.2,1,0.417,4.9,0.482,4.9,0.329,1.1,80,4.2,70,5.4,70,97,1.5,0.4,80,,,,
players,Josh,Hart,SG,23,198.12,204,13,70,0.9,1.2,0.668,2.8,0.511,4.1,0.336,0.5,15,3.2,40,1.4,70,91,1,0.6,75,,,,
players,Brandon,Ingram,SF,21,205.74,190,13,62,2.5,5.6,0.675,12.2,0.521,1.8,0.33,0.8,65,4.3,36,3,70,97,0.5,0.6,86,,,,
players,Rajon,Rondo,PG,32,185.42,186,13,72,2.8,0.8,0.639,6.3,0.428,3.1,0.359,0.7,67,4.5,68,8,25,64,1.2,0.2,77,SP,,,
players,LeBron,James,SF,34,203.2,250,13,75,3.6,7.6,0.665,14,0.582,5.9,0.339,1,100,7.4,100,8.3,100,58,1.3,0.6,94,HF,,,
players,Lance,Stephenson,SG,28,197.1,228,13,67,1.3,1.1,0.685,3.5,0.472,3.5,0.472,0.5,12,2.7,40,2.1,75,42,0.6,0.1,59,,,,
players,Tyson,Chandler,C,36,215,243,13,83,0.7,1.4,0.594,1.8,0.616,0,0,1.8,4,3.8,48,0.6,75,60,0.4,0.5,68,,,,
players,Kentavious,Caldwell-Pope,SG,25,195.58,205,13,61,0.8,1.9,0.867,3.9,0.542,5.3,0.347,0.6,21,2.3,67,1.3,72,85,0.9,0.2,65,,,,
players,Jemerrio,Jones,SF,23,208.28,235,13,70,0.8,0.3,0.5,3.8,0.435,1.7,0.2,2.7,30,5.5,40,2.2,67,70,1.2,0.8,57,R,,,
players,Alex,Caruso,PG,24,200.66,210,13,67,1.7,2.6,0.797,4.9,0.431,2,0.48,0.8,83,1.9,61,3.1,70,61,1,0.4,59,,,,
players,Mike,Muscala,PF,27,210.82,240,13,73,0.3,0.5,0.875,1.5,0.577,3.4,0.368,0.4,16,2.2,36,0.8,70,79,0.2,0.6,64,,,,
players,Reggie,Bullock,SG,27,200.66,205,13,63,0.6,1.1,0.81,2.8,0.537,5.2,0.343,0.1,2,2.5,33,1.1,70,79,0.8,0.4,74,,,,
Rookies,Isaac,Bonga,PG,19,205.8,200,13,60,0.3,0.7,0.6,1.1,0.2,0.4,0,0.4,1.5,0.7,66,0.7,96,90,0.4,0.2,42,R,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Avery,Bradley,SG,28,187.96,180,14,49,2,1.8,0.92,8.2,0.51,5.2,0.384,0.6,21,2.6,57,4,70,76,1,0,77,PT,,,
players,Jaren,Jackson Jr,PF,19,208.3,240,14,74,1.7,3.4,0.766,7.7,0.553,2.4,0.359,1.3,50.5,3.4,47,1.1,96,70,0.9,1.4,73,R,,,
players,Tyler,Zeller,C,29,213.36,253,14,67,1,4.5,0.778,7,0.571,0,0,2.3,17,2.3,30,0.8,70,73,0.3,0.8,57,,,,
players,Mike,Conley,PG,31,185.42,175,14,73,1.9,5.8,0.845,9.9,0.483,6.1,0.364,0.6,90,2.8,60,6.4,70,67,1.3,0.3,76,HH,,,
players,Jevon,Carter,PG,23,188,196,14,65,0.8,0.8,0.813,2.1,0.265,2.6,0.333,0.4,18,1.3,39,1.8,70,79,0.7,0.3,69,R,,,
players,Jonas,Valanciunas,C,26,213.36,265,14,80,2.7,4.8,0.769,13.7,0.563,0.9,0.278,2.7,72,7.9,33,2.2,75,82,0.3,1.6,78,IH,,,
players,Delon,Wright,PG,26,195.58,183,14,79,1.5,3.4,0.742,7.2,0.508,3,0.256,1.1,16,4.3,53,5.3,70,82,1.6,0.6,81,,,,
players,Yuta,Watanabe,SF,24,206,205,14,56,0.4,0.7,0.7,2.3,0.371,1.1,0.125,0.3,17,1.8,44,0.5,70,76,0.3,0.1,36,IH,,,
players,Joakim,Noah,C,33,210.82,230,14,81,1.2,2.6,0.716,5,0.519,0,0,1.4,41,4.3,28,2.1,85,61,0.5,0.7,63,,,,
players,Bruno,Caboclo,SF,23,205.74,218,14,73,1.1,1.5,0.84,2.8,0.505,3.8,0.369,1.2,20,3.4,25,1.5,70,91,0.4,1,54,,,,
players,Tyler,Dorsey,SG,22,193.9,183,14,47,0.8,1.7,0.629,3.9,0.5,4.4,0.366,0.9,2,2.5,61,1.9,80,60,0.3,0,56,,,,
players,Chandler,Parsons,SF,30,208.28,230,14,70,64,1,0.88,3.5,0.443,3.8,0.309,0.2,19,2.6,38,1.7,70,70,0.8,0.2,41,,,,
players,Dillon,Brooks,SF,23,200.66,215,14,57,1.1,1.7,0.733,4.6,0.415,2.2,0.375,0.5,15,1.2,25,0.9,70,91,0.6,0.2,45,,,,
players,Kyle,Anderson,SF,25,205.74,230,14,83,1.3,1.5,0.578,5.6,0.583,0.8,0.265,1.1,25,4.7,27,3,70,85,1.30,0.9,78,,,,
players,Justin,Holiday,SG,29,206.1,185,14,70,1.3,1.4,0.9,4.3,0.447,4.4,0.333,0.6,15,2.9,82,1.4,75,57,1.2,0.3,77,,,,
players,Ivan,Rabb,PF,21,208.28,215,14,71,0.7,1.4,0.71,4,0.574,0.3,0.2,1.4,20,2.8,35,1.1,70,94,0.3,0.3,48,,,,
players,C.J.,Miles,SF,31,198.12,225,14,55,0.7,1.1,0.929,3,0.462,5.1,0.364,0.1,16,2,45,1.1,70,67,0.4,0.7,55,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Derrick,Jones Jr.,SF,21,200.66,190,15,72,0.7,2,0.607,3.9,0.567,1.5,0.308,1.6,15,2.4,59,0.6,70,97,0.8,0.7,45,,,,
players,Goran,Dragic,PG,32,190.5,190,15,62,2,2.8,0.782,7.5,0.454,4.6,0.358,0.6,41,2.5,71,4.8,70,64,0.8,0.1,82,IH,,,
players,Bam,Adebayo,C,21,208.28,250,15,87,1.5,2.8,0.735,5.7,0.588,0.2,0.2,2,15,5.3,25,2.2,70,97,0.9,0.8,64,,,,
players,Udonis,Haslem,PF,38,203.2,235,15,79,0.5,0.9,0.6,1.3,0.55,0.1,0,0.5,18,1.7,25,0.4,70,46,0.3,0.1,32,,,,
players,James,Johnson,SF,31,205.74,250,15,71,1.3,1.3,0.714,4.2,0.496,2.7,0.336,0.4,18,2.8,40,2.5,70,67,0.6,0.5,61,,,,
players,Ryan,Anderson,PF,30,208.28,240,15,35,0.9,2.2,0.858,4,0.458,1.6,0.225,1.6,100,3.5,40,0.9,75,70,0.5,0.2,38,,,,
players,Duncan,Robinson,PF,24,208.28,240,15,54,0.3,0.4,0.667,0.7,0.727,2.3,0.286,0.1,15,1.1,25,0.3,75,67,0.3,0,50,R,,,
players,Josh,Richardson,SG,25,198.12,200,15,67,1.5,3.2,0.861,7.8,0.458,6.3,0.357,0.7,17,2.9,43,4.1,80,85,1.1,0.5,86,,,,
players,Dion,Waiters,SG,27,193.04,225,15,64,1.5,1,0.5,4.3,0.471,6.6,0.377,0.2,17,2.5,60,2.8,85,79,0.7,0.2,55,EX,,,
players,Dwyane,Wade,SG,37,193.04,220,15,70,2.3,3.2,0.708,9.7,0.472,3.6,0.33,1,100,3,82,4.2,85,49,0.8,0.5,73,HF,,,
players,Hassan,Whiteside,C,29,213.36,265,15,85,1.3,3.4,0.449,9.2,0.581,0.2,0.125,3.6,100,7.8,29,0.8,90,73,0.6,1.9,75,HH,,,
players,Justise,Winslow,SF,22,200.66,225,15,73,2.2,2.1,0.628,7.5,0.462,3.9,0.375,1,20,4.4,53,4.3,75,94,1.1,0.3,76,,,,
players,Kelly,Olynyk,C,27,213.36,238,15,70,1.4,2.3,0.822,3.1,0.604,4,0.354,0.9,22,3.8,33,1.8,70,79,0.7,0.5,68,IH,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Giannis,Antetokounmpo,PF,24,210.82,222,16,98,3.7,9.5,0.729,14.5,0.641,2.8,0.256,2.2,100,10.3,100,5.9,80,88,1.3,1.5,89,HH,,,
players,Malcolm,Brogdon,SG,26,195.58,215,16,76,1.4,2.4,0.928,7.9,0.544,3.8,0.426,1,40,3.5,74,3.2,70,82,0.7,0.2,77,,,,
players,Eric,Bledsoe,PG,29,185.42,190,16,90,2.1,3,0.75,7.6,0.582,4.8,0.329,1.1,42,3.6,83,5.5,72,73,1.5,0.4,76,,,,
players,Ersan,Ilyasova,PF,31,208.28,235,16,70,0.7,1.1,0.824,3.3,0.493,2.4,0.363,1.4,100,3.1,64,0.8,70,67,0.5,0.3,67,,,,
players,George,Hill,PG,32,190.5,188,16,76,0.7,1.4,0.815,3.1,0.556,2.7,0.28,0.6,43,2,54,2.1,70,64,0.9,0.1,70,,,,
players,D.J.,Wilson,PF,22,208,231,16,71,0.7,1,0.553,2.6,0.468,2.6,0.362,0.9,16,3.7,43,1.1,70,64,0.4,0.4,68,,,,
players,Pau,Gasol,C,38,213.36,250,16,77,0.7,1.3,0.7,2.7,0.444,1.6,0.358,1.7,100,6.4,31,1.7,70,46,0.2,0.5,52,HF,,,
players,Khris,Middleton,SF,27,203.2,234,16,69,2.3,3.4,0.837,8.8,0.485,6.2,0.378,0.6,21,5.3,63,4.3,70,79,1,0.1,83,,,,
players,Tim,Frazier,PG,28,185.42,170,16,60,1.3,1.1,0.692,3.5,0.429,2,0.417,0.8,16,1.8,53,3.5,70,76,0.4,0.1,65,,,,
players,Pat,Connaughton,SG,26,195.58,206,16,72,0.5,0.7,0.725,2.5,0.647,3.3,0.33,1,15,3.2,40,2,70,82,0.5,0.4,71,,,,
players,Tony,Snell,SF,27,200.66,200,16,66,0.3,0.6,0.881,2.1,0.522,2.8,0.397,0.4,21,1.7,45,0.9,70,79,0.4,0.2,77,,,,
players,Sterling,Brown,SG,23,205.74,242,16,70,0.8,0.7,0.69,2.8,0.558,2.5,0.361,0.5,20,2.7,54,1.4,70,61,0.4,0.1,59,,,,
players,Nikola,Mirotic,PF,27,208.28,220,16,70,1,3.2,0.847,4.9,0.545,6.9,0.365,1.3,25,6.1,45,1.2,70,79,0.7,0.7,79,IH,,,
players,Donte,DiVincenzo,SG,22,198.12,202,16,71,0.7,0.4,0.75,1.5,0.683,3.1,0.265,0.6,17,1.4,46,1.1,70,94,0.5,0.2,43,R,,,
players,Brook,Lopez,C,30,213.36,275,16,74,1,1.6,0.842,3.4,0.613,6.3,0.365,0.4,42,4.5,38,1.2,75,70,0.6,2,76,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Keita,Bates - Diop,SF,23,210.82,250,17,70,0.5,0.9,0.643,3,0.522,1.7,0.25,0.5,21,2.2,40,0.6,70,80,0.6,0.5,63,R,,,
players,Josh,Okogie,SG,20,208.28,240,17,73,0.9,2.2,0.728,4,0.464,2.9,0.279,0.6,25,2.4,67,1.2,70,80,1.2,0.4,71,R,,,
players,Gorgui,Dieng,PF,29,210.82,241,17,70,0.8,1.4,0.83,4.2,0.53,0.7,0.339,1.1,19,3,35,1.9,70,73,0.6,0.5,68,,,,
players,Luol,Deng,SF,33,205.74,220,17,47,0.6,1.6,0.714,3.4,0.608,2,0.318,0.9,23,2.4,47,0.8,70,61,0.7,0.4,47,,,,
players,Dario,Saric,PF,24,208.28,223,17,66,1.1,1.8,0.875,4.6,0.511,3.7,0.383,1.5,26,3.9,37,1.5,70,88,0.6,0.1,78,,,,
players,Tyus,Jones,PG,22,187.96,195,17,64,0.7,1,0.841,4.7,0.453,1.9,0.317,0.3,17,1.6,60,4.8,72,94,1.2,0.1,54,,,,
players,Derrick,Rose,PG,30,190.5,190,17,49,1.6,3.1,0.856,11.9,0.509,2.9,0.37,0.6,100,2.1,58,4.3,60,70,0.6,0.2,81,,,,
players,Jerryd,Bayless,PG,30,190.5,200,17,55,0.9,0.8,0.571,3.9,0.402,2.9,0.296,0.3,18,1.5,80,3.5,70,70,0.5,0.1,25,,,,
players,Taj,Gibson,PF,33,206.1,223,17,74,1,2.5,0.757,7.2,0.583,0.5,0.324,2.5,40,4.1,40,1.2,75,67,0.8,0.6,65,,,,
players,Anthony,Tolliver,PF,33,203.2,240,17,53,0.6,0.9,0.783,0.7,0.409,3.3,0.377,0.2,16,2.5,33,0.7,70,61,0.3,0.3,56,,,,
players,Robert,Covington,SF,28,205.74,215,17,90,1.1,3,0.773,4.4,0.526,6.7,0.372,1,23,4.8,52,1.5,70,76,2.3,1.1,93,,,,
players,Karl-Anthony,Towns,C,23,213.36,244,17,76,3.1,5.8,0.836,12.5,0.462,4.6,0.4,3.4,100,9,51,3.4,85,91,0.9,1.9,96,HH,,,
